"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 17 13:47:16 GMT 2024","Sun Nov 17 13:47:17 GMT 2024","92","","it.cantest.JsonPlaceholderTest","","it.cantest.JsonPlaceholderTest","verifyCommentsEndpoint","verifyCommentsEndpoint()",""
"passed","Sun Nov 17 13:47:16 GMT 2024","Sun Nov 17 13:47:16 GMT 2024","91","","it.cantest.JsonPlaceholderTest","","it.cantest.JsonPlaceholderTest","verifyTodosEndpoint","verifyTodosEndpoint()",""
"passed","Sun Nov 17 13:47:13 GMT 2024","Sun Nov 17 13:47:16 GMT 2024","2861","","it.cantest.JsonPlaceholderTest","","it.cantest.JsonPlaceholderTest","verifyUsersEndpoint","verifyUsersEndpoint()",""
"passed","Sun Nov 17 13:47:16 GMT 2024","Sun Nov 17 13:47:16 GMT 2024","104","","it.cantest.JsonPlaceholderTest","","it.cantest.JsonPlaceholderTest","verifyPhotosEndpoint","verifyPhotosEndpoint()",""
"passed","Sun Nov 17 13:47:16 GMT 2024","Sun Nov 17 13:47:16 GMT 2024","91","","it.cantest.JsonPlaceholderTest","","it.cantest.JsonPlaceholderTest","verifyPostsEndpoint","verifyPostsEndpoint()",""
"passed","Sun Nov 17 13:47:16 GMT 2024","Sun Nov 17 13:47:16 GMT 2024","78","","it.cantest.JsonPlaceholderTest","","it.cantest.JsonPlaceholderTest","verifyAlbumsEndpoint","verifyAlbumsEndpoint()",""
