"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 17 11:55:06 GMT 2024","Sun Nov 17 11:55:06 GMT 2024","95","","it.cantest.JsonPlaceholderTest","","it.cantest.JsonPlaceholderTest","verifyPostsEndpoint","verifyPostsEndpoint()",""
"passed","Sun Nov 17 11:55:03 GMT 2024","Sun Nov 17 11:55:06 GMT 2024","2615","","it.cantest.JsonPlaceholderTest","","it.cantest.JsonPlaceholderTest","verifyUsersEndpoint","verifyUsersEndpoint()",""
"passed","Sun Nov 17 11:55:06 GMT 2024","Sun Nov 17 11:55:06 GMT 2024","72","","it.cantest.JsonPlaceholderTest","","it.cantest.JsonPlaceholderTest","verifyAlbumsEndpoint","verifyAlbumsEndpoint()",""
"passed","Sun Nov 17 11:55:06 GMT 2024","Sun Nov 17 11:55:06 GMT 2024","83","","it.cantest.JsonPlaceholderTest","","it.cantest.JsonPlaceholderTest","verifyTodosEndpoint","verifyTodosEndpoint()",""
"passed","Sun Nov 17 11:55:06 GMT 2024","Sun Nov 17 11:55:06 GMT 2024","98","","it.cantest.JsonPlaceholderTest","","it.cantest.JsonPlaceholderTest","verifyCommentsEndpoint","verifyCommentsEndpoint()",""
"passed","Sun Nov 17 11:55:06 GMT 2024","Sun Nov 17 11:55:06 GMT 2024","84","","it.cantest.JsonPlaceholderTest","","it.cantest.JsonPlaceholderTest","verifyPhotosEndpoint","verifyPhotosEndpoint()",""
