"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 17 14:02:40 GMT 2024","Sun Nov 17 14:02:40 GMT 2024","103","","it.cantest.JsonPlaceholderTest","","it.cantest.JsonPlaceholderTest","verifyPostsEndpoint","verifyPostsEndpoint()",""
"passed","Sun Nov 17 14:02:40 GMT 2024","Sun Nov 17 14:02:41 GMT 2024","97","","it.cantest.JsonPlaceholderTest","","it.cantest.JsonPlaceholderTest","verifyPhotosEndpoint","verifyPhotosEndpoint()",""
"passed","Sun Nov 17 14:02:40 GMT 2024","Sun Nov 17 14:02:40 GMT 2024","79","","it.cantest.JsonPlaceholderTest","","it.cantest.JsonPlaceholderTest","verifyTodosEndpoint","verifyTodosEndpoint()",""
"passed","Sun Nov 17 14:02:38 GMT 2024","Sun Nov 17 14:02:40 GMT 2024","2596","","it.cantest.JsonPlaceholderTest","","it.cantest.JsonPlaceholderTest","verifyUsersEndpoint","verifyUsersEndpoint()",""
"passed","Sun Nov 17 14:02:40 GMT 2024","Sun Nov 17 14:02:40 GMT 2024","86","","it.cantest.JsonPlaceholderTest","","it.cantest.JsonPlaceholderTest","verifyAlbumsEndpoint","verifyAlbumsEndpoint()",""
"passed","Sun Nov 17 14:02:41 GMT 2024","Sun Nov 17 14:02:41 GMT 2024","91","","it.cantest.JsonPlaceholderTest","","it.cantest.JsonPlaceholderTest","verifyCommentsEndpoint","verifyCommentsEndpoint()",""
