"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 17 10:34:16 GMT 2024","Sun Nov 17 10:34:16 GMT 2024","93","","it.cantest.JsonPlaceholderTest","","it.cantest.JsonPlaceholderTest","verifyPhotosEndpoint","verifyPhotosEndpoint()",""
"passed","Sun Nov 17 10:34:16 GMT 2024","Sun Nov 17 10:34:16 GMT 2024","91","","it.cantest.JsonPlaceholderTest","","it.cantest.JsonPlaceholderTest","verifyAlbumsEndpoint","verifyAlbumsEndpoint()",""
"passed","Sun Nov 17 10:34:15 GMT 2024","Sun Nov 17 10:34:16 GMT 2024","97","","it.cantest.JsonPlaceholderTest","","it.cantest.JsonPlaceholderTest","verifyPostsEndpoint","verifyPostsEndpoint()",""
"passed","Sun Nov 17 10:34:13 GMT 2024","Sun Nov 17 10:34:15 GMT 2024","2510","","it.cantest.JsonPlaceholderTest","","it.cantest.JsonPlaceholderTest","verifyUsersEndpoint","verifyUsersEndpoint()",""
"passed","Sun Nov 17 10:34:16 GMT 2024","Sun Nov 17 10:34:16 GMT 2024","88","","it.cantest.JsonPlaceholderTest","","it.cantest.JsonPlaceholderTest","verifyTodosEndpoint","verifyTodosEndpoint()",""
"passed","Sun Nov 17 10:34:16 GMT 2024","Sun Nov 17 10:34:16 GMT 2024","110","","it.cantest.JsonPlaceholderTest","","it.cantest.JsonPlaceholderTest","verifyCommentsEndpoint","verifyCommentsEndpoint()",""
